Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Austria,2010,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Belgium,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Bulgaria,2010,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Cyprus,2010,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Czechia,2010,"I - 'susceptible, increased exposure' isolates ",42.000000000
Third-gen cephalosporins,Germany,2010,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Denmark,2010,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Estonia,2010,"I - 'susceptible, increased exposure' isolates ",7.000000000
Third-gen cephalosporins,Greece,2010,"I - 'susceptible, increased exposure' isolates ",26.000000000
Third-gen cephalosporins,Spain,2010,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Finland,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,France,2010,"I - 'susceptible, increased exposure' isolates ",22.000000000
Third-gen cephalosporins,Croatia,2010,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Hungary,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Ireland,2010,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Iceland,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2010,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Lithuania,2010,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Luxembourg,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Latvia,2010,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Malta,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Netherlands,2010,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Norway,2010,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Poland,2010,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Portugal,2010,"I - 'susceptible, increased exposure' isolates ",14.000000000
Third-gen cephalosporins,Romania,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Sweden,2010,"I - 'susceptible, increased exposure' isolates ",6.000000000
Third-gen cephalosporins,Slovenia,2010,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,United Kingdom,2010,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Austria,2011,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Belgium,2011,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Bulgaria,2011,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Cyprus,2011,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Czechia,2011,"I - 'susceptible, increased exposure' isolates ",43.000000000
Third-gen cephalosporins,Germany,2011,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Denmark,2011,"I - 'susceptible, increased exposure' isolates ",7.000000000
Third-gen cephalosporins,Estonia,2011,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Greece,2011,"I - 'susceptible, increased exposure' isolates ",25.000000000
Third-gen cephalosporins,Spain,2011,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Finland,2011,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,France,2011,"I - 'susceptible, increased exposure' isolates ",23.000000000
Third-gen cephalosporins,Croatia,2011,"I - 'susceptible, increased exposure' isolates ",5.000000000
