"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",4.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",22.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",13.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",7.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",9.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","IT","Italy",10.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",14.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","PL","Poland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","SE","Sweden",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2005","SI","Slovenia",0.000000000,""
