"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",26.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","IT","Italy",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","PL","Poland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2005","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","AT","Austria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","DE","Germany",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","EL","Greece",37.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","FI","Finland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","FR","France",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","HU","Hungary",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","IT","Italy",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","NO","Norway",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","PL","Poland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2006","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","AT","Austria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","DE","Germany",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","EL","Greece",34.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","FI","Finland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","FR","France",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IE","Ireland",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","IT","Italy",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","NO","Norway",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","PL","Poland",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","SI","Slovenia",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2007","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","AT","Austria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","DE","Germany",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","EL","Greece",90.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","FI","Finland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","FR","France",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","IT","Italy",3.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","NL","Netherlands",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","NO","Norway",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","PL","Poland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","SE","Sweden",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2008","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","AT","Austria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","BG","Bulgaria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","DE","Germany",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","EL","Greece",131.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Carbapenems","I - 'susceptible, increased exposure' isolates ","N","2009","FI","Finland",1.000000000,""
