"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","AT","Austria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","BG","Bulgaria",7.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","CY","Cyprus",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","CZ","Czechia",81.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","DE","Germany",3.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","EL","Greece",349.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","ES","Spain",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","FI","Finland",3.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","FR","France",17.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","HR","Croatia",16.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","HU","Hungary",52.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","IT","Italy",9.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","NL","Netherlands",6.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","NO","Norway",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","PL","Poland",14.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","RO","Romania",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","SE","Sweden",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","SI","Slovenia",9.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)","R - resistant isolates","N","2005","UK","United Kingdom",16.000000000,""
