"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",4.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",22.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",2.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",38.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",4.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",3.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","IT","Italy",5.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",3.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Fluoroquinolones","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",7.000000000,""
