"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","AT","Austria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","BG","Bulgaria",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","DE","Germany",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","EL","Greece",10.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","ES","Spain",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","FI","Finland",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","FR","France",8.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","HR","Croatia",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","HU","Hungary",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","IT","Italy",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","MT","Malta",1.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","NO","Norway",4.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","PL","Poland",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","RO","Romania",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Klebsiella pneumoniae|Third-generation cephalosporins","I - 'susceptible, increased exposure' isolates ","N","2005","SK","Slovakia",0.000000000,""
